stock	accuracy
8464	0.111111
3559	0.875000
2405	0.183673
2476	0.540000
1454	0.788462
1447	0.580769
6145	0.522727
1416	0.711538
3437	0.840000
1225	0.192157
1337	0.584615
1725	0.673152
2481	0.551020
2029	0.365385
2915	0.224490
6176	0.363636
2530	1.000000
1737	0.592308
1307	0.687259
2607	0.760000
2460	0.750000
3028	0.578947
5533	1.000000
2357	0.142308
1616	0.914894
2428	0.320000
2731	0.280000
2437	0.920000
8473	0.681818
9925	0.681818
2850	0.480000
1213	0.608527
6172	0.551020
1723	0.184615
4927	0.636364
3029	0.862745
9921	0.093023
3027	0.660000
1612	0.801619
2610	0.520000
2841	0.880000
2103	0.392308
2706	0.870370
3036	0.687500
9930	0.893617
1438	-1.000000
2712	0.000000
2458	0.384615
9914	0.045455
2439	0.142857
6456	0.340909
2380	0.745098
2348	-1.000000
2363	0.734694
2506	0.509091
2332	0.692308
2007	0.942308
4930	0.431818
3579	0.444444
8466	0.022727
2534	0.700000
1582	0.246154
8039	0.372093
6214	0.340909
2365	0.819672
4916	0.295455
2727	0.360000
1449	0.830275
1477	0.219231
5259	-1.000000
9911	0.489362
3023	0.360000
6412	0.454545
2107	0.642308
1732	0.707692
6131	0.533333
1108	0.909465
1736	0.459459
1305	0.326923
3019	0.480000
2520	0.300000
2537	0.680000
5215	0.911111
1418	0.987013
2485	0.660000
2311	0.376923
2633	0.520000
1444	0.673077
2049	0.219231
1220	0.834615
2408	0.400000
3406	0.120000
2323	0.769231
8996	0.395349
6257	0.822222
2010	0.792308
2006	0.634615
1339	0.355731
2302	0.757692
8463	1.000000
6168	0.363636
6243	0.500000
2059	0.154440
2539	1.000000
3533	0.222222
5388	0.477273
1525	0.077220
2413	1.000000
4984	0.136364
2823	0.400000
6108	0.318182
1419	0.859504
1902	0.811538
1710	0.357692
3030	0.280000
1720	0.679537
1104	0.488462
9940	0.488889
2115	0.130769
2417	0.725490
1817	0.519231
2723	0.129630
8163	0.590909
1722	0.480769
4960	0.500000
4755	0.584906
1536	0.288462
1324	0.891775
3308	0.415385
5531	0.574468
5522	0.500000
6139	0.409091
1613	0.938679
5607	0.702128
5264	0.363636
1808	0.574561
2009	0.752000
1256	0.449153
2342	0.800000
2419	0.530612
8105	0.409091
6414	0.113636
8081	0.204545
3046	0.769231
9958	1.000000
1568	0.389961
1441	0.869231
4994	0.139535
2337	0.642308
3002	0.576923
8261	1.000000
1507	0.476923
9941	0.318182
8016	0.159091
2359	0.665385
3311	0.500000
3545	0.409091
8940	1.000000
1218	0.676923
8210	0.200000
2387	0.769231
3622	0.622222
2236	0.139535
1590	0.169884
1715	0.795367
1608	0.633205
2887	0.460000
1233	0.727273
6477	1.000000
3413	0.222222
2338	0.896154
4426	0.347826
4164	0.204545
1617	0.808765
1314	0.473077
4526	0.688889
2321	0.646766
3653	0.413043
2618	0.489796
2034	0.400000
9942	0.088889
1435	0.915493
3518	0.630435
1442	0.822394
3669	0.901639
2364	0.907407
1776	0.897541
1410	1.000000
1446	0.661479
2367	0.607843
2845	0.800000
1773	0.407407
1709	0.930769
4935	0.250000
4137	0.044444
4142	0.555556
6605	0.333333
9946	0.590909
3040	0.775510
1453	-1.000000
2020	0.610039
3501	0.288889
2324	0.544402
6177	0.600000
3090	0.660000
4532	0.372093
6189	0.500000
1321	0.469231
2375	1.000000
2028	0.771930
8411	0.431818
9902	0.709091
1529	0.584906
3058	0.306122
3016	0.320000
3474	-1.000000
1517	0.710425
4968	0.244444
1729	0.465385
2480	0.647059
3596	0.295455
2440	0.517857
2467	0.440000
1234	0.615385
3338	0.340000
5519	0.911111
1512	0.966019
2801	0.531250
2477	0.547170
2849	1.000000
2025	0.773663
6117	1.000000
1541	0.323077
2497	0.571429
2433	0.784314
1532	0.303846
1526	0.388462
5203	0.367347
2353	0.700000
1445	0.730769
3504	0.613636
2913	0.960000
2707	0.320000
2908	0.820000
8114	0.066667
8101	0.600000
3052	0.750000
3167	0.265306
2349	0.634615
2069	0.480769
1443	1.000000
1805	0.694981
4141	0.711111
3024	0.280000
5706	0.600000
2474	0.265306
2886	0.340000
2834	0.460000
3266	0.750000
3013	0.960000
1304	0.603846
6164	0.704545
6278	0.688889
1316	0.784232
2441	0.490196
2376	0.360000
2101	0.459144
3705	0.170213
9929	-1.000000
6155	1.000000
2820	0.775510
3708	0.367347
6115	0.363636
1614	0.938462
8341	0.227273
6505	0.186047
2496	0.761905
3149	0.260000
1232	0.629344
3682	0.348837
6442	0.227273
3004	0.782051
1262	0.119691
5871	0.568182
1802	0.719231
1315	0.750000
1340	0.226923
1452	0.500000
6196	0.466667
6452	0.152174
1711	0.588462
8429	0.409091
2851	0.892857
1216	0.538462
2616	0.326531
1313	0.465385
2601	0.807692
1558	0.115385
2459	0.779661
1714	0.530769
2390	0.470588
3305	0.372549
4722	0.704545
2015	0.415385
